path,size,sha256,kind,suffix
AI-testing/.env.enhanced,1157,84257767473c1e4219f9f5e7dd4c049e34f4f7b4708edaef4f80f24be59a1107,text,.enhanced
AI-testing/.env.example,322,d86ed20aac62c6ac5f63d66e42c4d129b8842d144212f8581613b8cd51d88dee,text,.example
AI-testing/.git/FETCH_HEAD,96,75be793a67a011fd07e4e5b63781355af3e281af6bff9a31edd7ec6f54990e1b,text,
AI-testing/.git/HEAD,21,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,text,
AI-testing/.git/config,330,aebbe0efa02ac2ed7c4e8841858d0bc37e2b9d6876d7b6b105d83a33d707c2a1,text,
AI-testing/.git/description,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,text,
AI-testing/.git/hooks/applypatch-msg.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,text,.sample
AI-testing/.git/hooks/commit-msg.sample,896,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,text,.sample
AI-testing/.git/hooks/fsmonitor-watchman.sample,4726,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,text,.sample
AI-testing/.git/hooks/post-update.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,text,.sample
AI-testing/.git/hooks/pre-applypatch.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,text,.sample
AI-testing/.git/hooks/pre-commit.sample,1649,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,text,.sample
AI-testing/.git/hooks/pre-merge-commit.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,text,.sample
AI-testing/.git/hooks/pre-push.sample,1374,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,text,.sample
AI-testing/.git/hooks/pre-rebase.sample,4898,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,text,.sample
AI-testing/.git/hooks/pre-receive.sample,544,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,text,.sample
AI-testing/.git/hooks/prepare-commit-msg.sample,1492,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,text,.sample
AI-testing/.git/hooks/push-to-checkout.sample,2783,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f,text,.sample
AI-testing/.git/hooks/sendemail-validate.sample,2308,44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92,text,.sample
AI-testing/.git/hooks/update.sample,3650,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106,text,.sample
AI-testing/.git/index,22601,f841cfb691e50df0595c2b6fc8dc986ffe0ef7f6cea200c4b8b321fb1c873d5c,binary,
